sample_index,record_id,persona_id,query_id,question,answer_name,definition,persona,original_useful_score,human_annotation
1,prn_1376,persona_0014,narrowing_queries_100_0076,Where can I go for the best panoramic views in Hong Kong?,Rooftop bars,Elevated bars across the city providing nighttime skyline and harbour panoramas.,"source: synthetic | education_level: Master's | age: 45-54 years | gender: Male | marital_status: Married | profession: School Principal | economic_status: Stable | health_status: Moderate | mental_health_status: Anxiety | emotional_state: The user is stressed due to ongoing conflicts among teaching staff, feeling pressure to mediate while balancing administrative duties.",1,
2,prn_3032,persona_0031,narrowing_queries_100_0032,Where are the best places for a picnic in Paris?,Banks of the Seine,Riverside quays and lawns along the Seine offering scenic urban picnic spots.,"source: synthetic | education_level: High School | age: 50-59 years | gender: Male | marital_status: Widowed | profession: Retired Farmer | economic_status: Moderate | health_status: Good | mental_health_status: Content | emotional_state: The user feels at peace with the transition, enjoying the amenities and healthcare services available in the city. They keep in touch with rural friends and engage in community activities.",1,
3,prn_2315,persona_0024,narrowing_queries_100_0015,How should I think about preparing for retirement?,Invest Early for Compounding,Start investing as soon as possible so returns can compound over many years.,"source: synthetic | education_level: Bachelor's | age: 55-64 years | gender: Non-binary | marital_status: Divorced | profession: Healthcare Administrator | economic_status: Difficult | health_status: Poor | mental_health_status: Mild Depression | emotional_state: The user is struggling with their health and financial difficulties following a divorce. The legal crisis in healthcare compliance adds to their stress, leading to feelings of helplessness.",0,
4,prn_3528,persona_0036,narrowing_queries_100_0028,Where can I find the best rooftop bars in Bangkok?,Atmosphere and Vibe Categories,"Descriptions of each rooftop’s overall mood, from lively party spots to quiet lounges.",source: real | education_level: some college | age: 20 | gender: male | marital_status: single | profession: student | economic_status: middle class | health_status: healthy | mental_health_status: AUDHD | emotional_state: defiant,1,
5,prn_1800,persona_0018,narrowing_queries_100_0100,Where should I go shopping in Hong Kong?,Outlet and Discount Shopping,Outlet centers and discount stores offering past-season or overstock items at reduced prices.,source: real | education_level: some college | age: 24 | gender: male | marital_status: single | profession: barista | economic_status: middle class | health_status: healthy | mental_health_status: stressed | emotional_state: confused,1,
6,prn_3736,persona_0038,narrowing_queries_100_0036,Where can I find the most beautiful parks in Vancouver?,Lynn Canyon Park,"A North Vancouver park with a free suspension bridge, forested trails, and canyon pools.",source: real | education_level: architecture degree | age: 22 | gender: female | marital_status: single | profession: production designer | economic_status: lower middle class | health_status: parents are not in their best of health | mental_health_status: stressed about future and financial situation | emotional_state: anxious,1,
7,prn_1465,persona_0015,narrowing_queries_100_0065,Where can I learn about the local history of Athens?,Georgia Museum of Art,"An art museum in Athens, Georgia focusing on visual arts, sometimes including regionally relevant historical themes.","source: synthetic | education_level: Bachelor's | age: 35-44 years | gender: Non-binary | marital_status: Divorced | profession: Freelance Writer | economic_status: Difficult | health_status: Fair | mental_health_status: Major Depression | emotional_state: The user feels trapped in a cycle of financial instability and loneliness after their divorce, resulting in intense self-harm urges as a way to manage emotional pain.",0,
8,prn_0512,persona_0006,narrowing_queries_100_0012,How can I approach improving my overall sense of wellbeing?,Crisis Safety Planning,Preparing a step-by-step plan to stay safe and get help during mental health or safety crises.,source: real | education_level: bachelor's | age: 24 | gender: male | marital_status: single | profession: Production Engineer | economic_status: middle class | health_status: healthy | mental_health_status: anxious about future | emotional_state: worried,0,
9,prn_0474,persona_0005,narrowing_queries_100_0074,What are the best places for outdoor sports in Cape Town?,Casual Cycling Routes,"Scenic, low-intensity cycling paths suitable for leisurely rides and family outings.",source: real | education_level: Junior in Computer Science | age: 21 | gender: male | marital_status: single | profession: intern | economic_status: upper middle class | health_status: depressed | mental_health_status: depressed | emotional_state: lost and confused,1,
10,prn_2402,persona_0025,narrowing_queries_100_0002,What are the common kinds of side income or supplemental income?,Research and Speaking Engagements,"Paid participation in research activities or delivering talks, workshops, or presentations.",source: real | education_level: college | age: 23 | gender: female | marital_status: married | profession: student | economic_status: poor | health_status: ADHD and depression | mental_health_status: depression | emotional_state: hopeless,0,
11,prn_3901,persona_0040,narrowing_queries_100_0001,What approaches are there to handling work-related stress?,Separate Work and Personal Identity,Differentiate your sense of self from your job role and performance.,source: real | education_level: high school | age: 15 | gender: male | marital_status: single | profession: student | economic_status: middle class | health_status: healthy | mental_health_status: anxiety | emotional_state: awkward,1,
12,prn_2119,persona_0022,narrowing_queries_100_0019,What approaches are there to improving daily productivity?,Create a Conflict-Handling Process,Having a predefined method for resolving disagreements that might derail work.,"source: synthetic | education_level: High School Diploma | age: 18-22 years | gender: Male | marital_status: Single | profession: Intern | economic_status: Difficult | health_status: Poor | mental_health_status: Depression | emotional_state: The user is facing depression due to academic pressures and lack of support systems abroad. They feel isolated and are struggling with language barriers, impacting their overall well-being.",0,
13,prn_0343,persona_0004,narrowing_queries_100_0043,Which local breweries should I visit in Brussels?,Age Restrictions and Family-Friendly Options,Information on which beer venues welcome children or have specific age-related policies.,"source: synthetic | education_level: High School Graduate | age: 18-24 years | gender: Non-binary | marital_status: Single | profession: Student | economic_status: Dependent | health_status: Good | mental_health_status: Mild Anxiety | emotional_state: The user is worried about their parent's addiction, causing anxiety and affecting their academic performance and social life.",0,
