persona_id,query_id,|U|,|C|,|A|,|NP|,CR,UIR,RelCR,HMC,Jaccard,SIR,gender,economic,education,mental_health,age,missed_useful
persona_0001,narrowing_0001,13,6,13,5,0.462,0.462,1.2,7,0.462,0.0,female,poor/low,hs or below,struggling,<22,Acknowledge and Validate Feelings; Develop Strong Communication Skills; Leverage Existing Support Systems; Physical Well-being and Recovery; Prioritize and Organize; Simple Stress Relief Techniques; Time Management and Organization
persona_0002,narrowing_0001,13,3,13,6,0.231,0.231,0.5,10,0.231,0.0,male,middle,hs or below,struggling,<22,Acknowledge and Validate Feelings; Coping Strategies Outside of Work; Develop Strong Communication Skills; Identify Stress Triggers; In-the-Moment Coping Techniques; Leverage Existing Support Systems; Mindful Movement and Breathwork; Physical Well-being and Recovery; Proactive and Preventative Strategies; Simple Stress Relief Techniques
persona_0003,narrowing_0001,13,5,13,7,0.385,0.385,0.714,8,0.385,0.0,female,poor/low,some college,struggling,22+,Boundary Setting; Coping Strategies Outside of Work; Develop Strong Communication Skills; Identify Stress Triggers; Leverage Existing Support Systems; Physical Well-being and Recovery; Proactive and Preventative Strategies; Time Management and Organization
persona_0004,narrowing_0001,13,4,13,8,0.308,0.308,0.5,9,0.308,0.0,male,poor/low,some college,struggling,<22,Acknowledge and Validate Feelings; Coping Strategies Outside of Work; Develop Strong Communication Skills; In-the-Moment Coping Techniques; Leverage Existing Support Systems; Mindful Movement and Breathwork; Physical Well-being and Recovery; Prioritize and Organize; Simple Stress Relief Techniques
persona_0005,narrowing_0001,13,5,13,9,0.385,0.385,0.556,8,0.385,0.0,female,poor/low,degree+,struggling,22+,Acknowledge and Validate Feelings; Coping Strategies Outside of Work; In-the-Moment Coping Techniques; Leverage Existing Support Systems; Mindful Movement and Breathwork; Physical Well-being and Recovery; Prioritize and Organize; Simple Stress Relief Techniques
persona_0006,narrowing_0001,13,4,13,6,0.308,0.308,0.667,9,0.308,0.0,female,middle,degree+,struggling,22+,Coping Strategies Outside of Work; Develop Strong Communication Skills; Identify Stress Triggers; In-the-Moment Coping Techniques; Leverage Existing Support Systems; Mindful Movement and Breathwork; Physical Well-being and Recovery; Proactive and Preventative Strategies; Simple Stress Relief Techniques
persona_0007,narrowing_0001,13,4,13,5,0.308,0.308,0.8,9,0.308,0.0,male,poor/low,hs or below,struggling,<22,Acknowledge and Validate Feelings; Coping Strategies Outside of Work; Develop Strong Communication Skills; Leverage Existing Support Systems; Mindful Movement and Breathwork; Physical Well-being and Recovery; Proactive and Preventative Strategies; Simple Stress Relief Techniques; Time Management and Organization
persona_0008,narrowing_0001,13,3,13,7,0.231,0.231,0.429,10,0.231,0.0,male,middle,hs or below,struggling,unknown,Coping Strategies Outside of Work; Develop Strong Communication Skills; In-the-Moment Coping Techniques; Leverage Existing Support Systems; Mindful Movement and Breathwork; Physical Well-being and Recovery; Prioritize and Organize; Proactive and Preventative Strategies; Simple Stress Relief Techniques; Time Management and Organization
persona_0009,narrowing_0001,13,5,13,7,0.385,0.385,0.714,8,0.385,0.0,female,poor/low,hs or below,struggling,<22,Acknowledge and Validate Feelings; Coping Strategies Outside of Work; Develop Strong Communication Skills; Identify Stress Triggers; Leverage Existing Support Systems; Physical Well-being and Recovery; Proactive and Preventative Strategies; Time Management and Organization
persona_0010,narrowing_0001,13,6,13,9,0.462,0.462,0.667,7,0.462,0.0,female,middle,some college,struggling,<22,Acknowledge and Validate Feelings; Coping Strategies Outside of Work; Develop Strong Communication Skills; Identify Stress Triggers; Leverage Existing Support Systems; Physical Well-being and Recovery; Simple Stress Relief Techniques
persona_0011,narrowing_0001,13,5,13,5,0.385,0.385,1.0,8,0.385,0.0,male,poor/low,some college,struggling,22+,Boundary Setting; Coping Strategies Outside of Work; Develop Strong Communication Skills; In-the-Moment Coping Techniques; Mindful Movement and Breathwork; Proactive and Preventative Strategies; Simple Stress Relief Techniques; Time Management and Organization
persona_0012,narrowing_0001,13,6,13,5,0.462,0.462,1.2,7,0.462,0.0,other,middle,degree+,struggling,22+,Acknowledge and Validate Feelings; Coping Strategies Outside of Work; Identify Stress Triggers; In-the-Moment Coping Techniques; Mindful Movement and Breathwork; Physical Well-being and Recovery; Simple Stress Relief Techniques
persona_0013,narrowing_0001,13,5,13,5,0.385,0.385,1.0,8,0.385,0.0,male,poor/low,degree+,struggling,22+,Boundary Setting; Coping Strategies Outside of Work; Develop Strong Communication Skills; Identify Stress Triggers; In-the-Moment Coping Techniques; Prioritize and Organize; Proactive and Preventative Strategies; Time Management and Organization
persona_0014,narrowing_0001,13,3,13,5,0.231,0.231,0.6,10,0.231,0.0,female,poor/low,degree+,struggling,22+,Boundary Setting; Coping Strategies Outside of Work; Develop Strong Communication Skills; Identify Stress Triggers; In-the-Moment Coping Techniques; Leverage Existing Support Systems; Mindful Movement and Breathwork; Physical Well-being and Recovery; Proactive and Preventative Strategies; Simple Stress Relief Techniques
persona_0015,narrowing_0001,13,4,13,5,0.308,0.308,0.8,9,0.308,0.0,female,poor/low,degree+,struggling,22+,Acknowledge and Validate Feelings; Coping Strategies Outside of Work; In-the-Moment Coping Techniques; Leverage Existing Support Systems; Mindful Movement and Breathwork; Physical Well-being and Recovery; Prioritize and Organize; Proactive and Preventative Strategies; Simple Stress Relief Techniques
persona_0016,narrowing_0001,13,3,13,7,0.231,0.231,0.429,10,0.231,0.0,female,poor/low,degree+,struggling,22+,Acknowledge and Validate Feelings; Boundary Setting; Coping Strategies Outside of Work; Develop Strong Communication Skills; In-the-Moment Coping Techniques; Leverage Existing Support Systems; Prioritize and Organize; Proactive and Preventative Strategies; Simple Stress Relief Techniques; Time Management and Organization
persona_0017,narrowing_0001,13,3,13,8,0.231,0.231,0.375,10,0.231,0.0,female,poor/low,some college,struggling,<22,Acknowledge and Validate Feelings; Boundary Setting; Coping Strategies Outside of Work; Develop Strong Communication Skills; Identify Stress Triggers; In-the-Moment Coping Techniques; Leverage Existing Support Systems; Mindful Movement and Breathwork; Proactive and Preventative Strategies; Simple Stress Relief Techniques
persona_0018,narrowing_0001,13,5,13,7,0.385,0.385,0.714,8,0.385,0.0,female,middle,degree+,struggling,22+,Acknowledge and Validate Feelings; Coping Strategies Outside of Work; Develop Strong Communication Skills; In-the-Moment Coping Techniques; Mindful Movement and Breathwork; Physical Well-being and Recovery; Proactive and Preventative Strategies; Simple Stress Relief Techniques
persona_0019,narrowing_0001,13,4,13,5,0.308,0.308,0.8,9,0.308,0.0,male,poor/low,hs or below,struggling,22+,Coping Strategies Outside of Work; Develop Strong Communication Skills; Identify Stress Triggers; In-the-Moment Coping Techniques; Leverage Existing Support Systems; Physical Well-being and Recovery; Proactive and Preventative Strategies; Simple Stress Relief Techniques; Time Management and Organization
persona_0020,narrowing_0001,13,3,13,5,0.231,0.231,0.6,10,0.231,0.0,male,middle,some college,struggling,22+,Coping Strategies Outside of Work; Develop Strong Communication Skills; In-the-Moment Coping Techniques; Leverage Existing Support Systems; Mindful Movement and Breathwork; Physical Well-being and Recovery; Prioritize and Organize; Proactive and Preventative Strategies; Simple Stress Relief Techniques; Time Management and Organization
persona_0001,narrowing_0002,39,12,16,19,0.308,0.438,0.632,9,0.333,0.417,female,poor/low,hs or below,struggling,<22,Car Detailing/Washing; Content Creation; Data Entry; Event Staffing; House Cleaning/Organization; House Sitting; Merchandise Sales; Transcription Services; Website Testing
persona_0002,narrowing_0002,39,10,23,12,0.256,0.391,0.833,14,0.375,0.1,male,middle,hs or below,struggling,<22,Data Entry; Freelance Photography; Freelance Writing/Editing; Gig Economy Jobs; Merchandise Sales; Photography; Reselling Items; Selling Crafts/Art; Selling Digital Products; Session Work/Recording; Task-Based Apps; Web Design/Development; Website Testing; Writing/Editing
persona_0003,narrowing_0002,39,9,28,15,0.231,0.25,0.6,21,0.233,0.222,female,poor/low,some college,struggling,22+,Affiliate Marketing; Babysitting; Content Creation; Data Entry; Event Staffing; Freelance Photography; Freelance Video Editing; Gig Economy Jobs; House Sitting; Merchandise Sales; Online Courses/Digital Products; Online Surveys/Microtasks; Pet Sitting/Dog Walking; Photography; Selling Crafts/Art; Selling Digital Products; Social Media Management; Task-Based Apps; Web Design/Development; Website Testing; Writing/Editing
persona_0004,narrowing_0002,43,12,33,15,0.279,0.333,0.8,22,0.324,0.083,male,poor/low,some college,struggling,<22,Affiliate Marketing; Babysitting; Car Detailing/Washing; Content Creation; Data Entry; Event Staffing; Freelance Photography; Freelance Video Editing; Gig Economy Jobs; House Cleaning/Organization; House Sitting; Merchandise Sales; Online Courses/Digital Products; Photography; Selling Crafts/Art; Selling Digital Products; Session Work/Recording; Task-Based Apps; Transcription Services; Tutoring/Academic Coaching; Website Testing; Writing/Editing
persona_0005,narrowing_0002,39,12,34,16,0.308,0.294,0.75,24,0.278,0.167,female,poor/low,degree+,struggling,22+,Affiliate Marketing; Babysitting; Content Creation; Data Entry; Event Staffing; Freelance Photography; Gig Economy Jobs; House Sitting; Merchandise Sales; Online Tutoring/Teaching; Pet Sitting/Dog Walking; Private Coaching/Lessons; Renting out a spare room/property; Renting out your car; Reselling Items; Selling Crafts/Art; Selling Digital Products; Session Work/Recording; Transcription Services; Tutoring/Academic Coaching; Virtual Assistant Work; Web Design/Development; Website Testing; Writing/Editing
persona_0006,narrowing_0002,39,3,30,15,0.077,0.1,0.2,27,0.1,0.0,female,middle,degree+,struggling,22+,Affiliate Marketing; Coaching; Consulting; Content Creation; Freelance Graphic Design; Freelance Photography; Freelance Video Editing; Gig Economy Jobs; Merchandise Sales; Online Courses/Digital Products; Online Surveys/Microtasks; Online Tutoring/Teaching; Photography; Private Coaching/Lessons; Renting out a spare room/property; Renting out your car; Reselling Items; Selling Crafts/Art; Selling Digital Products; Session Work/Recording; Social Media Management; Task-Based Apps; Transcription Services; Virtual Assistant Work; Web Design/Development; Website Testing; Writing/Editing
persona_0007,narrowing_0002,39,9,25,16,0.231,0.32,0.562,17,0.308,0.111,male,poor/low,hs or below,struggling,<22,Affiliate Marketing; Babysitting; Content Creation; Data Entry; Event Staffing; Gig Economy Jobs; House Cleaning/Organization; House Sitting; Merchandise Sales; Odd Jobs/Handyman Services; Pet Sitting/Dog Walking; Photography; Reselling Items; Task-Based Apps; Transcription Services; Virtual Assistant Work; Website Testing
persona_0008,narrowing_0002,39,2,31,15,0.051,0.032,0.133,30,0.031,0.5,male,middle,hs or below,struggling,unknown,Affiliate Marketing; Babysitting; Car Detailing/Washing; Content Creation; Data Entry; Delivery Services; Event Staffing; Freelance Graphic Design; Freelance Photography; Freelance Video Editing; Freelance Writing/Editing; Gig Economy Jobs; House Cleaning/Organization; House Sitting; Merchandise Sales; Odd Jobs/Handyman Services; Online Courses/Digital Products; Online Surveys/Microtasks; Pet Sitting/Dog Walking; Photography; Reselling Items; Selling Crafts/Art; Selling Digital Products; Social Media Management; Task-Based Apps; Transcription Services; Virtual Assistant Work; Web Design/Development; Website Testing; Writing/Editing
persona_0009,narrowing_0002,39,12,17,14,0.308,0.471,0.857,9,0.381,0.333,female,poor/low,hs or below,struggling,<22,Car Detailing/Washing; Gig Economy Jobs; House Sitting; Merchandise Sales; Odd Jobs/Handyman Services; Reselling Items; Selling Crafts/Art; Task-Based Apps; Transcription Services
persona_0010,narrowing_0002,39,17,36,16,0.436,0.472,1.062,19,0.472,0.0,female,middle,some college,struggling,<22,Affiliate Marketing; Car Detailing/Washing; Coaching; Content Creation; Event Staffing; Freelance Photography; Freelance Video Editing; Gig Economy Jobs; House Cleaning/Organization; Merchandise Sales; Online Courses/Digital Products; Photography; Private Coaching/Lessons; Selling Digital Products; Session Work/Recording; Task-Based Apps; Transcription Services; Website Testing; Writing/Editing
persona_0011,narrowing_0002,39,9,25,14,0.231,0.32,0.643,17,0.308,0.111,male,poor/low,some college,struggling,22+,Affiliate Marketing; Babysitting; Car Detailing/Washing; Content Creation; Event Staffing; Gig Economy Jobs; House Cleaning/Organization; House Sitting; Merchandise Sales; Odd Jobs/Handyman Services; Reselling Items; Selling Crafts/Art; Selling Digital Products; Social Media Management; Task-Based Apps; Website Testing; Writing/Editing
persona_0012,narrowing_0002,39,15,40,13,0.385,0.375,1.154,25,0.375,0.0,other,middle,degree+,struggling,22+,Affiliate Marketing; Babysitting; Car Detailing/Washing; Data Entry; Event Staffing; Freelance Photography; Freelance Video Editing; House Cleaning/Organization; House Sitting; Merchandise Sales; Online Surveys/Microtasks; Pet Sitting/Dog Walking; Photography; Private Coaching/Lessons; Renting out a spare room/property; Renting out your car; Reselling Items; Selling Crafts/Art; Selling Digital Products; Session Work/Recording; Transcription Services; Vehicle Transport; Virtual Assistant Work; Website Testing; Writing/Editing
persona_0013,narrowing_0002,39,9,38,16,0.231,0.237,0.562,29,0.237,0.0,male,poor/low,degree+,struggling,22+,Affiliate Marketing; Babysitting; Car Detailing/Washing; Coaching; Consulting; Content Creation; Event Staffing; Freelance Photography; Freelance Video Editing; House Cleaning/Organization; House Sitting; Merchandise Sales; Odd Jobs/Handyman Services; Online Courses/Digital Products; Online Surveys/Microtasks; Online Tutoring/Teaching; Pet Sitting/Dog Walking; Photography; Private Coaching/Lessons; Reselling Items; Selling Crafts/Art; Selling Digital Products; Session Work/Recording; Task-Based Apps; Transcription Services; Vehicle Transport; Virtual Assistant Work; Website Testing; Writing/Editing
persona_0014,narrowing_0002,39,6,19,16,0.154,0.158,0.375,16,0.136,0.5,female,poor/low,degree+,struggling,22+,Babysitting; Car Detailing/Washing; Data Entry; Delivery Services; Gig Economy Jobs; House Cleaning/Organization; House Sitting; Merchandise Sales; Odd Jobs/Handyman Services; Online Surveys/Microtasks; Pet Sitting/Dog Walking; Reselling Items; Ridesharing; Task-Based Apps; Transcription Services; Website Testing
persona_0015,narrowing_0002,39,13,40,15,0.333,0.325,0.867,27,0.325,0.0,female,poor/low,degree+,struggling,22+,Affiliate Marketing; Babysitting; Car Detailing/Washing; Coaching; Content Creation; Data Entry; Event Staffing; Freelance Photography; Freelance Video Editing; Gig Economy Jobs; House Cleaning/Organization; House Sitting; Merchandise Sales; Odd Jobs/Handyman Services; Online Courses/Digital Products; Online Surveys/Microtasks; Photography; Private Coaching/Lessons; Renting out a spare room/property; Renting out your car; Selling Digital Products; Session Work/Recording; Social Media Management; Transcription Services; Vehicle Transport; Website Testing; Writing/Editing
persona_0016,narrowing_0002,39,7,40,19,0.179,0.175,0.368,33,0.175,0.0,female,poor/low,degree+,struggling,22+,Affiliate Marketing; Babysitting; Car Detailing/Washing; Data Entry; Delivery Services; Event Staffing; Freelance Graphic Design; Freelance Photography; Freelance Video Editing; Freelance Writing/Editing; Gig Economy Jobs; House Cleaning/Organization; House Sitting; Merchandise Sales; Odd Jobs/Handyman Services; Online Surveys/Microtasks; Pet Sitting/Dog Walking; Photography; Renting out a spare room/property; Renting out your car; Reselling Items; Ridesharing; Selling Crafts/Art; Selling Digital Products; Session Work/Recording; Social Media Management; Task-Based Apps; Transcription Services; Vehicle Transport; Virtual Assistant Work; Web Design/Development; Website Testing; Writing/Editing
persona_0017,narrowing_0002,39,10,27,20,0.256,0.37,0.5,17,0.37,0.0,female,poor/low,some college,struggling,<22,Affiliate Marketing; Babysitting; Content Creation; Freelance Photography; Freelance Video Editing; Gig Economy Jobs; House Sitting; Merchandise Sales; Online Courses/Digital Products; Pet Sitting/Dog Walking; Photography; Reselling Items; Selling Crafts/Art; Selling Digital Products; Task-Based Apps; Tutoring/Academic Coaching; Writing/Editing
persona_0018,narrowing_0002,39,12,26,13,0.308,0.308,0.923,18,0.267,0.333,female,middle,degree+,struggling,22+,Affiliate Marketing; Content Creation; Freelance Photography; Freelance Video Editing; Gig Economy Jobs; Merchandise Sales; Online Tutoring/Teaching; Photography; Private Coaching/Lessons; Renting out a spare room/property; Renting out your car; Reselling Items; Selling Digital Products; Session Work/Recording; Social Media Management; Virtual Assistant Work; Website Testing; Writing/Editing
persona_0019,narrowing_0002,39,3,33,15,0.077,0.091,0.2,30,0.091,0.0,male,poor/low,hs or below,struggling,22+,Affiliate Marketing; Car Detailing/Washing; Coaching; Consulting; Content Creation; Data Entry; Delivery Services; Event Staffing; Freelance Photography; Gig Economy Jobs; House Cleaning/Organization; House Sitting; Odd Jobs/Handyman Services; Online Surveys/Microtasks; Online Tutoring/Teaching; Pet Sitting/Dog Walking; Photography; Renting out a spare room/property; Renting out your car; Reselling Items; Ridesharing; Selling Crafts/Art; Selling Digital Products; Social Media Management; Task-Based Apps; Transcription Services; Tutoring/Academic Coaching; Vehicle Transport; Virtual Assistant Work; Website Testing
persona_0020,narrowing_0002,39,7,31,20,0.179,0.226,0.35,24,0.226,0.0,male,middle,some college,struggling,22+,Affiliate Marketing; Coaching; Content Creation; Data Entry; Freelance Graphic Design; Freelance Photography; Freelance Video Editing; Gig Economy Jobs; Merchandise Sales; Online Courses/Digital Products; Online Surveys/Microtasks; Photography; Reselling Items; Ridesharing; Selling Crafts/Art; Selling Digital Products; Session Work/Recording; Social Media Management; Task-Based Apps; Transcription Services; Tutoring/Academic Coaching; Virtual Assistant Work; Website Testing; Writing/Editing
